metric,value
total_pdfs_found_in_raw,481
total_pdfs_processed,481
remaining_pdfs,0
auto_approved,258
auto_approved_percentage,53.64
needs_review,223
needs_review_percentage,46.36
failed,0
failed_percentage,0.0
needs_review_to_auto_approved_ratio,0.8643
clean_processed,401
noisy_processed,80
total_processing_time_seconds,9408.36
average_processing_time_seconds_per_pdf,19.56
estimated_remaining_time_seconds,0.0
current_batch_runtime_seconds,1.26
last_updated,2026-05-26T14:30:04.053359
